ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-525-64204-7;Evangelisches Gesangbuch Taschenausgabe mit Wechselcover;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-31717-5;Natur und Industrie im Sozialismus;Huff, Tobias;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80607-5;Leid im Abseits – Aberkannte und nicht gesehene Trauer;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-77301-8;Abiturwissen Evangelische Religion;Richardt, Max W.;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30083-2;Geteilte Geschichte;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-35118-6;'Freiheit heißt, die Angst verlieren';Halbrock, Christian;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99601-1;Inklusion im Religionsunterricht;Grasser, Patrick;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-57021-1;Calvin and the Independence of the Church;Speelman, Herman;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-59366-0;Zwischen Synoptikern und Gnosis - ein viertes Evangelium;Bergmeier, Roland;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-77683-4;Kooperatives Lernen im kompetenzorientierten Religionsunterricht;Arnhold, Oliver /Karsch, Manfred;20140917;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40233-8;Sexualität in Zeiten der Trauer;Roser, Traugott;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99640-0;Die Konfliktachse der OPD-KJ-2;Adler-Corman, Petra /Dietrich, Heiko;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30056-6;Weißkittel und Braunhemd ;Marg, Stine /Pülm, Bonnie;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40251-1;Wachsame Sorge;Omer, Haim;20150218;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-58042-4;Praxisbuch Schulseelsorge;Gutmann, Hans-Martin /Kuhlmann, Birgit;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-70113-4;Kita-Management;-;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99646-2;Inklusion und Partizipation - Vielfalt als Chance und Anspruch;-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71098-2;Ovid, Orpheus und Eurydike;Schlingmeyer, Katja;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56417-3;Verheißene Gegenwart;Klinge, Hendrik;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40374-7;Das Problem, der Spruch, die Lösung;Kühling, Ludger;20150617;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-30369-6;Briefwechsel;Dilthey, Wilhelm;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-10137-8;Conversio im Wandel;Becker, Judith;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40364-9;Perspektiven der Bildungsberatung;-;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-56411-0;Karl Barth in den Niederlanden;Hennecke, Susanne;20140716;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-57036-4;Resonances: Neurobiology, Evolution and Theology;Mühling, Markus;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-10141-5;European Missions in Contact Zones;-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56413-5;De libertate et servitute spiritus;Dietz, Martin;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31026-7;Tod in der Stadt;Krogner-Kornalik, Kathrin;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-56412-8;Raum Gottes;Wüthrich, Matthias;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40233-7;Sexualität in Zeiten der Trauer;Roser, Traugott;20140917;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40371-7;Teamcoaching und Teamsupervision;Obermeyer, Klaus /Pühl, Harald;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55069-4;At the Intersection of Texts and Material Finds;Miller, Stuart S.;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55064-9;The Text of the Hebrew Bible;-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-53118-1;Kulturgeschichte des 19. Jahrhunderts;Grabner-Haider, Anton /S. Davidowicz, Klaus;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-55077-0;Britain and the Bestandstwisten;Platt, Eric;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40242-9;Puppen – Menschenbegleiter in Kinderwelten und imaginären Räumen;-;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-52107-6;Die Bekenntnisschriften der Evangelisch-Lutherischen Kirche/Paket;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99565-6;Lehrbuch der systemischen Therapie und Beratung II;Schlippe, Arist von /Schweitzer, Jochen;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40363-2;Systemische Streifzüge;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40244-3;Die Konfliktachse der OPD-KJ-2;Adler-Corman, Petra /Dietrich, Heiko;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31718-1;Wasser;-;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40156-9;Coaching als kreativer Prozess;Richter, Kurt F.;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-61506-5;konfi live. Mein Begleiter;-;20140327;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55083-1;Reformed Majorities in Early Modern Europe;-;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-62432-7;'Was soll man da in Gottes Namen sagen?';Sturm, Wilfried;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54022-1;Hebrew Bible / Old Testament. III: From Modernism to Post-Modernism;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40240-5;Traumapädagogik in psychosozialen Handlungsfeldern;-;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55082-3;Preparing for Death, Remembering the Dead;-;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99500-7;Argula von Grumbach;Matheson, Peter;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-77014-6;Luthers Meisterwerk - Eine Bibelübersetzung macht Karriere;Käbisch, David /Palkowitsch-Kühl, Jens;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-30066-5;'Dann sprang er über Bord';Reger, Karl-Heinz;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-64199-6;Evangelisches Gesangbuch Taschenausgabe - neue Rechtschreibung;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-37310-1;Voices of Freedom – Western Interference? ;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54031-2;Religion - Imagination - Ästhetik;-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40364-8;Perspektiven der Bildungsberatung;-;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80610-5;Trauer hat System – Veränderungsdynamik in Krisen;Metz, Christian /Rechenberg-Winter, Petra;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99726-1;Abiturwissen Evangelische Religion;Richardt, Max W.;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40257-4;Vom Wachsen und Werden im Prozess der Trauer;Adelt, Thorsten /Brathuhn, Sylvia;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55074-8;Law and Religion;-;20140917;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-37034-6;Sozialstaat und Gesellschaft;Kott, Sandrine;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-31715-1;Projektion Natur;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-87446-2;Lutherjahrbuch 81. Jahrgang 2014;-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-70167-7;Feinfühlig arbeiten mit Kindern;Staats, Hermann;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-62429-7;Lebensweisheit und Praktische Theologie;-;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-62433-4;Von den Künsten lernen;Dober, Hans Martin;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-35116-2;Auftrag: Menschenraub;Muhle, Susanne;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-27832-2;Göttinger Händel-Beiträge, Band 15;Sandberger, Wolfgang;20140514;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-70173-8;Inklusion und Partizipation - Vielfalt als Chance und Anspruch;-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-37038-4;Traditionen der Säkularisierung;Biale, David;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-36425-3;Obsession der Gegenwart;-;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-10135-4;Herrscherbilder und politische Normbildung;Weiand, Kerstin;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31712-9;Greenpeace;Zelko, Frank;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99552-6;Dienst am Wort Sonderausgabe Advents- und Weihnachtszeit;Freudenberg, Hans /Goldschmidt, Stephan;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-37037-8;Missratene Söhne ;Kosuch, Carolin;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30172-3;Tango in Paris und Berlin;Lange, Kerstin;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71104-0;Ovid, Metamorphosen;Datené, Verena;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30082-5;Gustav Stresemann;Pohl, Karl Heinrich;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40250-5;Buddha und Freud – Präsenz und Einsicht;Weischede, Gerald /Zwiebel, Ralf;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99737-7;Leid kreativ wandeln;Rechenberg-Winter, Petra;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-35113-0;Ignác Goldzihers monotheistische Wissenschaft;Fraisse, Ottfried;20140312;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-36724-8;Die Semantik des Schicksals;Rehlinghaus, Franziska;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-10139-2;Erfüllte Hoffnung;Filipová, Lucie;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31002-1;Iberia Pontificia. Vol. III: Provincia Toletana;Berger, Daniel;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40220-7;Systemic Interventions;Schlippe, Arist von /Schweitzer, Jochen;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99629-5;Generation 'Social Media';Wampfler, Philippe;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40369-3;Grenzbereiche der Supervision - Verwaltung in Bewegung;-;20150311;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-31712-0;Greenpeace;Zelko, Frank;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40356-3;Identität im Zeitalter des Chamäleons;Lippmann, Eric;20140716;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-57037-2;Stiftsgeschichte(n);-;20150511;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99511-3;Überwachtes Deutschland;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-36723-1;Die Autonomie der Routine;Kypta, Ulla;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54044-2;The Isaianic Denkschrift and a Socio-Cultural Crisis in Yehud;Prokhorov, Alexander;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30076-3;Die Einheit;-;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-49140-9;JUGEND SUCHT;Möller, Christoph;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40241-3;Spielraum und Rahmen;Lang-Langer, Ellen;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-53462-5;Die Esra-Apokalypse;-;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-35115-4;Fasse Dich kurz!;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-80007-2;Tabus;-;20140716;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-53464-0;Die Weisheit Salomos;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40246-7;Handbuch psychoanalytisch-interaktionelle Therapie;Leichsenring, Falk /Streeck, Ulrich;20141119;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-35078-3;Ausreise per Antrag: Der lange Weg nach drüben;Hürtgen, Renate;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71071-5;Ovid, Verwandlungsgeschichten;Hellmich, Michaela;20140312;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-36968-5;Todesurteile sowjetischer Militärtribunale gegen Deutsche (1944–1947);-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55075-6;A Heavenly Directory;McGraw, Ryan M.;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30073-2;Nationale Helden und jüdische Opfer;Hallama, Peter;20150504;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40254-2;Amor altert nicht;Drimalla, Elisabeth;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55085-4;Symphonia Catholica;Han Ph.D., Byung Soo;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-54014-5;Religion, at the Intersection;Benavides, Gustavo;20140701;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-54026-8;Kulturgeschichte der frühen Neuzeit;Grabner-Haider, Anton /S. Davidowicz, Klaus;20140402;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55067-0;Philip Melanchthon and the Cappadocians;Hall, H. Ashley;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-63059-4;Gedanken und Gebete zu biblischen Texten im Kirchenjahr;Berthold-Scholz, Christiane;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30169-2;Zwischen Stadt, Staat und Nation;-;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-63058-8;Dienst am Wort Sonderausgabe Advents- und Weihnachtszeit;Freudenberg, Hans /Goldschmidt, Stephan;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40376-2;Die Welt erkunden;Stölzel, Thomas;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-53460-1;Iconographic Exegesis of the Hebrew Bible / Old Testament;-;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40469-1;Kreatives und therapeutisches Schreiben;Heimes, Silke;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-61423-6;Ethische Schlüsselprobleme;-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99635-6;Gesundheit als Gabe;Stempin, Lothar;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-01470-8;Autorität ohne Gewalt;Omer, Haim /Schlippe, Arist von;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99711-7;Vollendung;Wenz, Gunther;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-53619-3;The Gospel of John as Genre Mosaic;-;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-54029-9;Jerusalem und der eine Gott;Keel, Othmar;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56021-1;Heilung und Lebensheil im Angesicht des Todes;-;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-61422-9;Kirchengeschichtliche Grundthemen;Gutschera, Herbert /Lachmann, Rainer;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-49077-8;Autorität durch Beziehung;Omer, Haim /Schlippe, Arist von;20150128;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55093-9;Performances of Ancient Jewish Letters;Miller, Marvin;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70176-8;Notfallmanagement;Heidrich, Vinzenz /Lenkeit, Bernd;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-67018-7;Gesundheit als Gabe;Stempin, Lothar;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40220-8;Systemic Interventions;Schlippe, Arist von /Schweitzer, Jochen;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56016-8;Der Majoristische Streit (1552–1570);-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-45131-1;Das Unbewusste im Bild;Greve, Gisela;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99641-7;Brauchen wir die Liebe noch?;Natho, Frank;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-35116-1;Auftrag: Menschenraub;Muhle, Susanne;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-61422-8;Kirchengeschichtliche Grundthemen;Gutschera, Herbert /Lachmann, Rainer;20140402;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-55061-9;Be Renewed;van Vlastuin, Willem;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-31026-8;Tod in der Stadt;Krogner-Kornalik, Kathrin;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54027-5;A Christian in Toga;Moreschini, Claudio;20140716;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30418-1;V 3 Laches;Platon;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-53615-6;The Portrayals of the Pharisees in the Gospels and Acts;Marshall, Mary;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55089-3;Heinrich Bullinger on Prophecy and the Prophetic Office (1523–1538);Timmerman, Daniël;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-57041-8;Evangelische Mystik;Zimmerling, Peter;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-01818-7;Den Tod durchdringt das Leben;Schwemmer, Siegfried Johannes;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-49140-0;JUGEND SUCHT;Möller, Christoph;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55065-6;Shifting Patterns of Reformed Tradition;Campi, Emidio;20140514;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-99702-5;Die Esra-Apokalypse;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99723-0;Systematische Theologie;Pannenberg, Wolfhart;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54040-4;Unterscheidungen der Religion;Hermann, Adrian;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-36390-4;Allgemein bildende Schulen in der Bundesrepublik Deutschland 1949–2010;Köhler, Helmut /Lundgreen, Peter;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55068-8;Religious Competition in the Third Century CE: Jews, Christians, and the Greco-Roman World;-;20141001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-10134-7;Jüdische Erfahrungen und Loyalitätskonflikte im Ersten Weltkrieg;Panter, Sarah;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36845-9;Revolution als Zeitgeschichte;Karla, Anna;20140618;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-99627-1;Praxishandbuch Traumapädagogik;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-57037-1;Stiftsgeschichte(n);-;20150511;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-36079-9;Österreich und der Immerwährende Reichstag;Rohrschneider, Michael;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54041-1;Philo von Alexandrien;Kaiser, Otto;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-71097-6;Ovid, Amores;Klug, Felix;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40211-6;Regenbogenbandwurmhüpfer;Heimes, Silke;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-45244-8;Funktionen der Seele;Gil, Thomas /Mack, Wolfgang;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-30068-9;Geschichte denken;-;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-35113-1;Ignác Goldzihers monotheistische Wissenschaft;Fraisse, Ottfried;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55773-0;Globalisierung der Kirchen;-;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40370-0;Salutogene Aufstellungen;-;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40240-6;Traumapädagogik in psychosozialen Handlungsfeldern;-;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-77007-9;Tatort Bibel;Grasser, Patrick;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-53613-1;Götterwort in Menschenmund;Weippert, Manfred;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-52203-5;Systematische Theologie;Pannenberg, Wolfhart;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54034-4;Am Anfang...;Bührer, Walter;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30170-9;Umkämpftes Essen;-;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-20868-7;Authority and Performance;Amirav, Hagit;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55094-6;The Dynamics of Dream-Vision Revelation in the Aramaic Dead Sea Scrolls;Perrin, Andrew;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-77686-5;Leben in Erwartung: die christlichen Zukunftshoffnungen;Sistermann, Rolf;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-60452-6;Meaning and Melancholy in the Thought of Emmanuel Levinas;Holte, Stine;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-77680-3;Reli für Jungs;Obenauer, Andreas;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-35120-9;In Haft bei der Staatssicherheit;Spohr, Julia;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-59365-3;Izates, Helena and Monobazos of Adiabene;Marciak, Michał;20140101;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-77682-7;Bibel - etwas für mich?;Märkt, Claudia /Schnabel-Henke, Hanne;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99559-5;Hysterie;Mentzos, Stavros;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36963-0;Moralische Ordnungen des Nationalsozialismus;Bialas, Wolfgang;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-36965-5;Joseph Wulf;Kempter, Klaus;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
